id,tipo_area,dettaglio,ora_inizio,ora_fine,disposizio,posti,municipio,longitudine,latitudine
4039,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.1750701,45.4533746
4064,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,2,9.2030456,45.4832778
4067,carico scarico merci,hotel,08:00:00,20:00:00,linea,3,2,9.2031929,45.4833393
4088,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,2,9.2030951,45.4830562
4097,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,2,9.203178,45.4826981
4145,carico scarico merci,hotel,08:00:00,20:00:00,linea,1,2,9.2035492,45.4817945
4161,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2119118,45.4741948
4168,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2038924,45.4810798
4177,carico scarico merci,hotel,08:00:00,20:00:00,linea,3,4,9.2163529,45.4655432
4191,carico scarico merci,,08:00:00,20:00:00,linea,2,4,9.2160128,45.4647524
4197,carico scarico merci,merci,08:00:00,20:00:00,linea,1,3,9.2120075,45.4736759
4224,carico scarico merci,merci,08:00:00,20:00:00,linea,4,8,9.158965,45.473232
4231,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,2,9.2037925,45.4825234
4236,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2112194,45.4731095
4246,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2110552,45.473581
4258,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2053603,45.4838928
4261,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2215175,45.4620339
4281,carico scarico merci,merci,08:00:00,20:00:00,pettine,1,8,9.1495067,45.4783803
4305,carico scarico merci,,08:00:00,20:00:00,linea,2,3,9.207746,45.4819193
4334,carico scarico merci,merci,06:00:00,22:00:00,linea,1,1,9.1725594,45.4772619
4357,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.2141889,45.4841289
4369,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1728691,45.4789983
4408,carico scarico merci,merci,08:00:00,20:00:00,linea,2,4,9.2197924,45.4628701
4413,carico scarico merci,merci,08:00:00,20:00:00,linea,5,4,9.2193822,45.4622803
4418,carico scarico merci,merci,10:00:00,12:30:00,linea,1,1,9.1735595,45.4803195
4437,carico scarico merci,merci,08:00:00,20:00:00,linea,1,4,9.2180812,45.4640456
4441,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1754717,45.4807083
4472,carico scarico merci,30 min,08:00:00,20:00:00,linea,3,4,9.2184928,45.4642331
4487,carico scarico merci,merci,10:00:00,12:30:00,linea,1,1,9.1773334,45.4805829
4496,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1706098,45.4587571
4525,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.18548,45.4533907
4541,carico scarico merci,merci,10:00:00,12:30:00,linea,3,1,9.1764676,45.478843
4551,carico scarico merci,merci,08:00:00,20:00:00,linea,4,1,9.1673067,45.4719362
4591,carico scarico merci,merci,11:00:00,15:00:00,linea,1,5,9.1864956,45.4511183
4597,carico scarico merci,merci,11:00:00,15:00:00,linea,1,5,9.1864756,45.4510525
4599,carico scarico merci,merci,08:00:00,20:00:00,linea,2,6,9.158291,45.4548913
4602,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1621914,45.4761077
4610,carico scarico merci,merci,10:00:00,12:30:00,linea,2,1,9.1747889,45.4810555
4615,carico scarico merci,merci,08:00:00,20:00:00,pettine,2,6,9.1585393,45.4539396
4621,carico scarico merci,merci,08:00:00,20:00:00,pettine,1,6,9.1563269,45.4530697
4623,carico scarico merci,merci,08:00:00,20:00:00,pettine,2,6,9.1556128,45.4529771
4677,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2176235,45.4769161
4714,carico scarico merci,,08:00:00,20:00:00,linea,1,7,9.1589622,45.4669008
4721,carico scarico merci,,08:00:00,20:00:00,linea,2,7,9.1574842,45.4676219
4754,carico scarico merci,,08:00:00,20:00:00,linea,3,7,9.1551701,45.4683659
4758,carico scarico merci,hotel,08:00:00,20:00:00,linea,2,3,9.2085702,45.4833638
4762,carico scarico merci,merci,08:00:00,20:00:00,linea,3,3,9.2082182,45.4835411
4767,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2085937,45.4832693
4783,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2077336,45.4837137
4792,carico scarico merci,merci,08:00:00,20:00:00,linea,2,2,9.2075641,45.4839138
4808,carico scarico merci,merci,08:00:00,20:00:00,linea,2,8,9.1489158,45.4771834
4864,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2073158,45.4829149
4967,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1942517,45.4507418
4982,carico scarico merci,merci,08:00:00,20:00:00,linea,3,5,9.1822012,45.4498226
5002,carico scarico merci,merci,08:00:00,20:00:00,linea,2,3,9.2082396,45.4827343
5058,carico scarico merci,merci,08:00:00,20:00:00,linea,2,1,9.1666426,45.4752434
5086,carico scarico merci,merci,08:00:00,20:00:00,linea,2,5,9.1806487,45.448991
